time,force
0,-142.2392883
0,-89.73420715
0,11.04464149
0,87.68460846
0,128.0762024
0,143.9246063
0,165.813736
0,182.550827
1,191.1695709
1,204.9363403
1,197.2463226
1,195.404892
1,197.9788971
1,209.8001556
1,240.2439728
1,264.5629883
1,269.6509705
1,277.7172852
1,280.8877563
2,325.0903625
2,330.3184509
2,318.9775696
2,326.4634399
2,349.5494995
2,369.565155
2,377.2351379
2,372.6195374
2,360.4940491
2,357.0953979
2,389.9450989
2,417.9389954
3,443.2187805
3,436.4534912
3,463.2984924
3,529.7504883
3,524.8306274
3,503.2257385
3,513.4577637
3,529.7785034
3,563.6610107
3,603.7844238
3,640.3610229
4,582.1394653
4,566.3911743
4,641.133606
4,635.1169434
4,630.4813232
4,666.5175171
4,690.1079712
4,734.3305664
4,721.9448853
4,767.7767334
4,783.6091309
4,776.751709
5,799.7617188
5,811.0385742
5,810.9945068
5,840.5256348
5,833.708313
5,880.913208
5,917.894165
5,901.2051392
5,919.6795654
5,949.0946045
5,966.7163696
6,976.9884033
6,982.076416
6,1000.835083
6,1041.330688
6,1087.999268
6,1095.965454
6,1097.242554
6,1059.09668
6,1065.966064
6,1141.369019
6,1136.681396
7,1120.912964
7,1181.640503
7,1208.325439
7,1226.347534
7,1243.805176
7,1223.997681
7,1212.720825
7,1281.918945
7,1331.293579
7,1356.349243
7,1358.695068
7,1348.427002
8,1303.60791
8,1301.286133
8,1374.999756
8,1435.951538
8,1465.582642
8,1518.660156
8,1518.299927
8,1465.110352
8,1439.370117
8,1429.290283
8,1428.737915
9,1501.490723
9,1527.951538
9,1443.305298
9,1410.984009
9,1392.509521
9,1366.281006
9,1385.211792
9,1414.634766
9,1544.692627
9,1589.027222
9,1520.677734
9,1573.823364
10,1597.217651
10,1548.911865
10,1558.883667
10,1537.27478
10,1518.896362
10,1556.373779
10,1603.650757
10,1646.592285
10,1722.083374
10,1690.426636
10,1563.559326
11,1566.837891
11,1575.632813
11,1538.743896
11,1511.466553
11,1535.949707
11,1640.78772
11,1708.384644
11,1685.875
11,1610.420044
11,1538.327637
11,1553.551514
12,1530.921753
12,1502.223389
12,1510.862061
12,1526.410278
12,1455.45874
12,1516.030151
12,1601.661133
12,1644.046265
12,1587.818359
12,1542.971191
12,1537.578979
12,1616.80896
13,1582.810425
13,1566.998047
13,1595.900635
13,1616.961182
13,1614.198975
13,1627.805664
13,1481.45105
13,1432.196533
13,1375.011841
13,1319.788574
13,1407.789429
14,1511.242432
14,1512.859619
14,1410.459595
14,1434.802612
14,1504.116821
14,1501.362671
14,1460.810913
14,1466.49939
14,1462.664429
14,1406.948853
14,1438.257324
14,1474.785889
15,1407.477173
15,1419.314453
15,1466.127075
15,1514.276733
15,1542.779053
15,1579.099487
15,1591.353149
15,1625.66394
15,1594.111206
15,1558.515381
15,1513.312012
16,1450.018555
16,1446.543823
16,1422.080688
16,1366.897461
16,1447.168335
16,1472.572144
16,1428.213501
16,1357.434082
16,1395.079468
16,1389.983521
16,1340.000488
17,1352.574219
17,1279.044678
17,1352.538208
17,1430.751465
17,1441.047485
17,1441.107544
17,1491.739136
17,1569.468018
17,1501.014404
17,1422.577026
17,1451.731812
17,1468.689087
18,1442.288452
18,1434.698486
18,1387.105225
18,1392.98584
18,1523.119751
18,1521.286255
18,1485.166016
18,1469.293579
18,1509.060669
18,1504.681274
18,1529.032349
19,1513.584229
19,1592.90625
19,1635.207397
19,1617.445557
19,1469.029419
19,1365.588501
19,1360.800659
19,1406.792725
19,1486.170776
19,1464.481812
19,1475.258301
19,1453.052856
20,1426.17981
20,1417.416992
20,1477.403931
20,1553.855713
20,1581.085083
20,1530.893799
20,1525.477539
20,1507.871826
20,1500.978394
20,1517.955688
20,1452.908813
